ts,host,load1,mem_total_mb,mem_avail_mb,swap_used_mb,idle,us,sy,si,so
22:20:10,vm102,ERR,,,,,,,,
22:20:39,yggdrasil,8.98,31935,6315,4404,0,0,0,0,0
22:20:41,vm105,0.16,7850,5200,0,0,0,0,0,0
22:20:49,vm102,ERR,,,,,,,,
22:21:18,yggdrasil,9.08,31935,6317,4404,0,0,0,0,0
22:21:20,vm105,0.16,7850,5220,0,0,0,0,0,0
22:21:28,vm102,ERR,,,,,,,,
22:21:57,yggdrasil,8.56,31935,6348,4405,0,0,0,0,0
22:21:59,vm105,0.08,7850,5223,0,0,0,0,0,0
22:22:07,vm102,ERR,,,,,,,,
22:22:36,yggdrasil,8.69,31935,6291,4405,0,0,0,4,0
22:22:38,vm105,0.20,7850,5220,0,0,0,0,0,0
22:22:46,vm102,ERR,,,,,,,,
22:23:15,yggdrasil,9.01,31935,6317,4407,1,1,1,12,0
22:23:17,vm105,0.11,7850,5210,0,0,0,0,0,0
22:23:25,vm102,ERR,,,,,,,,
